geometry,R_m,f0_hz,f0R_Hz_m,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
sawbowl,0.03,100000.0,3000.0,3.343461211134135e-05,2.35624773304162e-06,5.7904186770241146e-06,1.3340744708307937e-05,0.0004447876484553532,2.307268654725557e-09,2.7850639323526815e-08
sawbowl,0.03,174867.86215901404,5246.035864770421,1.915853775309613e-05,1.3501655409907515e-06,3.317997363348176e-06,4.380384297517737e-06,0.00014604438310031792,7.575831489392609e-10,9.144654652797106e-09
sawbowl,0.03,305787.6921606394,9173.630764819181,1.096770365252427e-05,7.729303627592102e-07,1.8994566427794628e-06,1.4355519379940778e-06,4.786207851937068e-05,2.4827729344836286e-10,2.996912101193646e-09
sawbowl,0.03,534724.4000266959,16041.732000800877,6.275725524484193e-06,4.4227114078710643e-07,1.0868700425725505e-06,4.7001896000577984e-07,1.5670686496250072e-05,8.128931609587694e-11,9.812292204488489e-10
sawbowl,0.03,935061.1267692975,28051.833803078924,3.590082855334333e-06,2.5300501651232585e-07,6.217533718759817e-07,1.5381420272509866e-07,5.128248761594711e-06,2.6602014831916745e-11,3.211083021673292e-10
sawbowl,0.03,1635121.4022614588,49053.642067843764,2.053457270621017e-06,1.4471392767129964e-07,3.5563078443017346e-07,5.032210918954745e-08,1.6777663542121104e-06,8.703159209726459e-12,1.0505432370386598e-10
sawbowl,0.03,2859301.8398391055,85779.05519517316,1.1744453425629873e-06,8.276704891266375e-08,2.0339791064643167e-07,1.6460882511319882e-08,5.488147313957888e-07,2.8468934139663636e-12,3.436435609806872e-11
sawbowl,0.03,5000000.0,150000.0,6.716757795032732e-07,4.733521440366005e-08,1.1632508149305557e-07,5.384022562928392e-09,1.7950622602830823e-07,9.311613982121859e-13,1.12398875616343e-11
sawbowl,0.05,100000.0,5000.0,9.550564247951963e-05,3.6089651473874515e-06,1.4810208954851154e-05,8.7273523922539e-05,0.0036292609956144334,1.2517228326551238e-08,1.8236572015470675e-07
sawbowl,0.05,174867.86215901404,8743.393107950702,5.467963938789187e-05,2.0662330276971143e-06,8.479256972531719e-06,2.860722519359429e-05,0.0011896286745567888,4.102998864296015e-09,5.977731836161562e-08
sawbowl,0.05,305787.6921606394,15289.38460803197,3.1289615507853424e-05,1.1823713124301771e-06,4.852129484261977e-06,9.367525936702206e-06,0.00038954765408183374,1.3435398931371704e-09,1.957427105877876e-08
sawbowl,0.05,534724.4000266959,26736.220001334797,1.7900187777467205e-05,6.764119076464323e-07,2.7758100404613447e-06,3.0657703871639854e-06,0.0001274897630754487,4.397089312787609e-10,6.406197427989321e-09
sawbowl,0.05,935061.1267692975,46753.05633846488,1.0238822068080083e-05,3.869043863238394e-07,1.5877501092390963e-06,1.0030542973593968e-06,4.171191530115067e-05,1.4386332875844205e-10,2.0959703592876053e-09
sawbowl,0.05,1635121.4022614588,81756.07011307294,5.8560511637110584e-06,2.2128833441105877e-07,9.081069885840355e-07,3.281211130972278e-07,1.3644884543201275e-05,4.706085771264978e-11,6.856379850210937e-10
sawbowl,0.05,2859301.8398391055,142965.09199195527,3.349170111420763e-06,1.2655836755803449e-07,5.193610334187357e-07,1.073244977852073e-07,4.463078791587184e-06,1.5393044573314625e-11,2.242639972486189e-10
sawbowl,0.05,5000000.0,250000.0,1.9153828044193395e-06,7.237844388656896e-08,2.9702139921274624e-07,3.5102303719058524e-08,1.4597258826956775e-06,5.034557225274715e-12,7.334935738927038e-11
sawbowl,0.1,100000.0,10000.0,2.203569500060681e-05,8.325846805701819e-07,3.4170755999167827e-06,4.645894194066026e-06,0.00019320290203955995,3.3316994980876e-10,4.854100621941975e-09
sawbowl,0.1,174867.86215901404,17486.786215901404,1.2609462887807598e-05,4.764290679426166e-07,1.9553496252692337e-06,1.5212794029294621e-06,6.326351466083404e-05,1.0909516255589224e-10,1.5894557618938405e-09
sawbowl,0.1,305787.6921606394,30578.76921606394,7.213656998702209e-06,2.725568813618973e-07,1.1186219139335287e-06,4.978824135993866e-07,2.0704803674763736e-05,3.5704527873545145e-11,5.201950867915961e-10
sawbowl,0.1,534724.4000266959,53472.440002669595,4.126211071376614e-06,1.5590250848601065e-07,6.398516212771705e-07,1.62899101823085e-07,6.774278082367052e-06,1.1681946103639138e-11,1.7019944889902697e-10
sawbowl,0.1,935061.1267692975,93506.11267692976,2.3599899851200053e-06,8.916857434520947e-08,3.6596368728009147e-07,5.32888232082714e-08,2.2160546194231214e-06,3.821489214357118e-12,5.5676969615066045e-11
sawbowl,0.1,1635121.4022614588,163512.1402261459,1.349727285745479e-06,5.099735955813114e-08,2.0930223324182775e-07,1.7430420518538257e-08,7.248567632583545e-07,1.249983767758711e-12,1.8211567363676436e-11
sawbowl,0.1,2859301.8398391055,285930.18398391054,7.719112963528497e-07,2.9165475383678876e-08,1.197002979027811e-07,5.7009942479502505e-09,2.3708000811160316e-07,4.088340991225381e-13,5.9564851390736516e-12
sawbowl,0.1,5000000.0,500000.0,4.4144773420528713e-07,1.6679420402289062e-08,6.845530767919505e-08,1.8645515452562633e-09,7.753873732336981e-08,1.3371215933895343e-13,1.948111695490462e-12
