R_m,f0_Hz,f0_times_R_Hz_m,normalized_response
0.03,100000.0,3000.0,1.0
0.03,100665.04209539376,3019.9512628618127,0.9999785923797163
0.03,101334.50700067396,3040.0352100202185,0.9999569001297777
0.03,102008.42412938816,3060.2527238816447,0.9999349194801185
0.03,102686.8230906964,3080.6046927208918,0.9999126466111194
0.03,103369.73369067204,3101.0920107201614,0.999890077652969
0.03,104057.18593361143,3121.7155780083426,0.9998672086850123
0.03,104749.21002335209,3142.4763007005627,0.9998440357350952
0.03,105445.83636459979,3163.3750909379937,0.9998205547788989
0.03,106147.09556426438,3184.412866927931,0.999796761739266
0.03,106853.01843280459,3205.5905529841375,0.9997726524855195
0.03,107563.63598558157,3226.909079567447,0.9997482228327702
0.03,108278.9794442218,3248.369383326654,0.9997234685412203
0.03,108999.08023798862,3269.972407139658,0.999698385315455
0.03,109723.97000516325,3291.7191001548977,0.9996729688037238
0.03,110453.6805944348,3313.610417833044,0.9996472145972185
0.03,111188.24406629955,3335.6473219889863,0.9996211182293366
0.03,111927.69269446959,3357.8307808340874,0.9995946751749393
0.03,112672.05896729077,3380.1617690187227,0.9995678808495971
0.03,113421.37558917011,3402.6412676751033,0.99954073060883
0.03,114175.67548201275,3425.2702644603824,0.999513219747336
0.03,114934.9917866683,3448.049753600049,0.999485343498208
0.03,115699.357864387,3470.9807359316096,0.9994570970321468
0.03,116468.80729828544,3494.064218948563,0.9994284754566581
0.03,117243.37389482206,3517.3012168446617,0.9993994738152462
0.03,118023.09168528252,3540.6927505584754,0.999370087086591
0.03,118807.9949272748,3564.239847818244,0.9993403101837185
0.03,119598.11810623445,3587.9435431870334,0.9993101379531639
0.03,120393.49593693965,3611.8048781081893,0.9992795651741179
0.03,121194.16336503647,3635.8249009510937,0.9992485865575685
0.03,122000.15556857422,3660.0046670572265,0.9992171967454286
0.03,122811.5079595511,3684.345238786533,0.9991853903096565
0.03,123628.25618546997,3708.8476855640993,0.9991531617513612
0.03,124450.43613090458,3733.5130839271374,0.9991205054999011
0.03,125278.0839190762,3758.342517572286,0.9990874159119687
0.03,126111.23591344077,3783.3370774032232,0.9990538872706682
0.03,126949.92871928647,3808.497861578594,0.9990199137845757
0.03,127794.19918534209,3833.8259755602626,0.998985489586795
0.03,128644.08440539596,3859.322532161879,0.9989506087339969
0.03,129499.62171992571,3884.988651597771,0.9989152652054496
0.03,130360.84871773889,3910.8254615321666,0.9988794529020373
0.03,131227.8032376244,3936.834097128732,0.998843165645265
0.03,132100.5233700151,3963.0157011004526,0.9988063971762545
0.03,132979.04745866117,3989.3714237598347,0.998769141154726
0.03,133863.41410231488,4015.9024230694463,0.9987313911579696
0.03,134753.66215642655,4042.6098646927962,0.9986931406798015
0.03,135649.83073485145,4069.4949220455433,0.9986543831295122
0.03,136551.95921156858,4096.558776347058,0.9986151118307957
0.03,137460.08722241042,4123.802616672313,0.9985753200206765
0.03,138374.25466680442,4151.227640004133,0.9985350008484118
0.03,139294.50170952603,4178.8350512857805,0.9984941473743894
0.03,140220.86878246334,4206.6260634739,0.9984527525690091
